Year,Country,ByTeslaCount,ByOtherPartyCount,ByUndeterminedCount,ByInanimateObjectCount,PedestrianInvolvedCount,MotorcycleInvolvedCount,AutoPilotOnCount
2021,China,1,0,0,0,0,0,0
2021,USA,1,0,0,0,0,0,0
2021,France,1,0,0,0,0,0,0
2021,USA,0,1,0,0,0,0,0
2021,USA,1,0,0,0,0,0,0
2021,UK,0,0,1,0,1,0,0
2021,Belgium,1,0,0,0,0,0,0
2021,UK,1,0,0,0,0,0,0
2021,USA,1,0,0,0,0,0,0
2021,USA,0,0,1,0,0,0,0
2021,USA,1,0,0,0,0,0,0
2021,USA,1,0,0,0,0,0,0
2021,USA,1,0,0,0,0,0,0
2021,China,1,0,0,0,0,0,0
2021,USA,0,0,1,0,0,0,0
2021,USA,0,1,0,0,0,0,0
2020,Portugal,1,0,0,0,0,0,0
2020,USA,1,0,0,0,1,0,0
2020,S Korea,1,0,0,0,0,0,0
2020,USA,1,0,0,0,0,0,0
2020,USA,0,0,1,0,0,0,0
2020,USA,1,0,0,0,0,0,0
2020,France,0,1,0,0,0,0,0
2020,USA,0,1,0,0,0,1,0
2020,Belgium,0,1,0,0,0,0,0
2020,USA,1,0,0,0,1,0,0
2020,USA,0,1,0,0,0,0,0
2020,USA,1,0,0,0,0,0,0
2020,China,1,0,0,0,1,0,0
2020,USA,0,0,1,0,0,0,0
2020,Germany,1,0,0,0,0,0,0
2020,USA,1,0,0,0,0,0,0
2020,USA,1,0,0,0,0,0,0
2020,USA,0,1,0,0,0,0,0
2020,USA,0,1,0,0,0,0,0
2020,Germany,1,0,0,0,0,0,0
2020,Canada,0,0,1,0,0,1,0
2020,Netherlands,1,0,0,0,0,0,0
2020,USA,1,0,0,0,0,0,0
2020,USA,0,0,1,0,0,0,0
2020,USA,0,1,0,0,0,0,0
2020,Norway,1,0,0,0,1,0,0
2020,Netherlands,1,0,0,0,0,0,0
2020,Taiwan,1,0,0,0,0,0,0
2020,USA,1,0,0,0,0,0,0
2020,USA,0,1,0,0,0,1,0
2020,Netherlands,0,0,1,0,0,0,0
2020,Canada,1,0,0,0,0,0,0
2020,USA,0,1,0,0,0,0,0
2020,Germany,1,0,0,0,1,0,0
2020,Taiwan,1,0,0,0,1,0,0
2020,USA,1,0,0,0,0,0,0
2020,USA,1,0,0,0,0,0,0
2020,USA,1,0,0,0,0,0,0
2019,USA,1,0,0,0,0,0,0
2019,USA,1,0,0,0,0,0,0
2019,Slovenia,0,1,0,0,0,0,0
2019,USA,0,1,0,0,0,0,0
2019,USA,1,0,0,0,0,0,0
2019,USA,0,1,0,0,0,0,0
2019,USA,0,1,0,0,0,0,0
2019,Taiwan,1,0,0,0,0,0,0
2019,USA,0,0,0,1,0,0,0
2019,USA,1,0,0,0,1,0,0
2019,USA,1,0,0,0,0,0,0
2019,Austria,1,0,0,0,0,0,0
2019,USA,0,0,1,0,0,0,0
2019,Germany,1,0,0,0,1,0,0
2019,USA,0,1,0,0,0,0,0
2019,USA,0,0,1,0,0,0,0
2019,Norway,0,0,1,0,0,0,0
2019,USA,1,0,0,0,1,0,0
2019,Germany,1,0,0,0,0,1,0
2019,USA,0,1,0,0,0,0,0
2019,USA,1,0,0,0,0,0,0
2019,USA,1,0,0,0,0,0,0
2019,USA,1,0,0,0,0,0,0
2019,USA,1,0,0,0,0,1,0
2019,USA,0,1,0,0,0,0,0
2019,USA,1,0,0,0,0,0,0
2019,Germany,1,0,0,0,0,0,0
2019,USA,1,0,0,0,0,0,0
2019,Germany,1,0,0,0,0,1,0
2019,USA,1,0,0,0,1,0,0
2019,USA,1,0,0,0,1,0,0
2019,USA,1,0,0,0,1,0,0
2019,USA,0,1,0,0,0,0,0
2019,USA,1,0,0,0,0,0,0
2019,Ukraine,1,0,0,0,0,0,0
2019,USA,0,0,1,0,0,0,0
2019,USA,1,0,0,0,0,0,0
2019,Spain,0,1,0,0,0,0,0
2019,USA,1,0,0,0,1,0,0
2019,USA,1,0,0,0,0,0,0
2019,Canada,1,0,0,0,0,0,0
2019,USA,0,1,0,0,0,0,0
2019,USA,1,0,0,0,0,0,1
2019,USA,1,0,0,0,0,0,0
2019,USA,1,0,0,0,0,0,0
2019,Netherlands,1,0,0,0,0,0,0
2018,USA,1,0,0,0,0,0,0
2018,USA,0,0,1,0,0,0,0
2018,Denmark,1,0,0,0,0,0,0
2018,USA,1,0,0,0,0,1,0
2018,USA,1,0,0,0,0,0,0
2018,Canada,1,0,0,0,0,0,0
2018,USA,1,0,0,0,0,0,0
2018,Japan,1,0,0,0,0,0,0
2018,Netherlands,1,0,0,0,0,0,0
2018,USA,0,0,0,1,0,0,0
2018,USA,1,0,0,0,0,0,0
2018,Switzerland,1,0,0,0,0,0,0
2018,USA,1,0,0,0,0,0,0
2018,USA,1,0,0,0,0,0,1
2018,Norway,1,0,0,0,0,0,0
2018,China,1,0,0,0,1,0,0
2018,Japan,1,0,0,0,0,1,0
2018,USA,1,0,0,0,0,0,0
2017,Switzerland,1,0,0,0,0,0,0
2017,Australia,1,0,0,0,1,0,0
2017,USA,1,0,0,0,0,0,0
2017,USA,1,0,0,0,0,1,0
2017,USA,0,1,0,0,0,0,0
2017,USA,1,0,0,0,0,0,0
2017,USA,0,0,1,0,0,0,0
2017,USA,1,0,0,0,0,0,0
2017,Norway,1,0,0,0,0,0,0
2017,USA,1,0,0,0,1,0,0
2017,Germany,0,0,1,0,0,0,0
2016,USA,1,0,0,0,1,0,0
2016,USA,0,0,1,0,0,0,0
2016,USA,0,0,0,1,0,0,0
2016,USA,0,0,1,0,0,0,0
2016,USA,1,0,0,0,0,1,0
2016,Netherlands,1,0,0,0,0,0,0
2016,USA,0,1,0,0,0,1,0
2016,USA,1,0,0,0,0,0,0
2016,USA,1,0,0,0,1,0,0
2016,USA,0,1,0,0,0,0,0
2016,USA,0,1,0,0,0,0,0
2016,USA,1,0,0,0,0,0,1
2016,USA,0,0,1,0,1,0,0
2016,USA,0,1,0,0,0,0,0
2016,China,1,0,0,0,0,0,1
2015,USA,1,0,0,0,0,0,0
2015,Canada,0,0,0,1,0,0,0
2015,USA,1,0,0,0,1,0,0
2015,USA,1,0,0,0,0,0,0
2015,USA,1,0,0,0,0,0,0
2014,USA,1,0,0,0,0,0,0
2014,USA,1,0,0,0,0,1,0
2014,USA,1,0,0,0,0,0,0
2014,USA,1,0,0,0,0,0,0
2013,USA,1,0,0,0,1,0,0
2013,USA,1,0,0,0,0,0,0
